Date	Matrix	Section	RegGrn	FocusGrn	SatGrn	P95Grn	P05Grn	RegRed	FocusRed	SatRed	P95Red	P05Red
3/26/2009 12:05:03 PM	4616443092	A	0.10	0.65	0	560	33	0.00	0.00	0	0	0
3/26/2009 12:10:56 PM	4616443092	B	0.12	0.66	0	562	34	0.00	0.00	0	0	0
3/26/2009 12:16:44 PM	4616443092	C	0.11	0.67	0	601	33	0.00	0.00	0	0	0
3/26/2009 12:22:36 PM	4616443092	D	0.12	0.66	0	671	34	0.00	0.00	0	0	0
3/26/2009 12:28:18 PM	4616443092	E	0.11	0.69	0	677	34	0.00	0.00	0	0	0
3/26/2009 12:34:18 PM	4616443092	F	0.12	0.64	0	468	33	0.00	0.00	0	0	0
3/26/2009 12:40:03 PM	4616443092	G	0.12	0.67	0	610	33	0.00	0.00	0	0	0
3/26/2009 12:45:53 PM	4616443092	H	0.12	0.66	0	549	32	0.00	0.00	0	0	0
3/26/2009 12:51:43 PM	4616443092	I	0.12	0.64	0	611	34	0.00	0.00	0	0	0
3/26/2009 12:57:31 PM	4616443092	J	0.11	0.30	0	453	34	0.00	0.00	0	0	0
3/26/2009 1:03:25 PM	4616443092	K	0.69	0.67	0	601	33	0.00	0.00	0	0	0
3/26/2009 1:09:12 PM	4616443092	L	0.12	0.64	0	499	32	0.00	0.00	0	0	0
