Date	Matrix	Section	RegGrn	FocusGrn	SatGrn	P95Grn	P05Grn	RegRed	FocusRed	SatRed	P95Red	P05Red
3/26/2009 1:23:44 PM	4616443093	A	0.13	0.67	0	673	35	0.00	0.00	0	0	0
3/26/2009 1:29:30 PM	4616443093	B	0.12	0.66	0	716	34	0.00	0.00	0	0	0
3/26/2009 1:35:23 PM	4616443093	C	1.00	0.61	0	413	33	0.00	0.00	0	0	0
3/26/2009 1:41:16 PM	4616443093	D	0.13	0.61	0	574	33	0.00	0.00	0	0	0
3/26/2009 1:47:07 PM	4616443093	E	0.12	0.66	0	579	35	0.00	0.00	0	0	0
3/26/2009 1:52:50 PM	4616443093	F	0.12	0.66	0	555	32	0.00	0.00	0	0	0
3/26/2009 1:58:47 PM	4616443093	G	0.14	0.57	0	506	34	0.00	0.00	0	0	0
3/26/2009 2:04:31 PM	4616443093	H	0.12	0.66	0	608	33	0.00	0.00	0	0	0
3/26/2009 2:10:22 PM	4616443093	I	0.11	0.66	0	514	33	0.00	0.00	0	0	0
3/26/2009 2:16:14 PM	4616443093	J	0.11	0.66	0	547	33	0.00	0.00	0	0	0
3/26/2009 2:22:06 PM	4616443093	K	0.13	0.67	0	521	32	0.00	0.00	0	0	0
3/26/2009 2:27:54 PM	4616443093	L	0.11	0.63	0	517	33	0.00	0.00	0	0	0
