Date	Matrix	Section	RegGrn	FocusGrn	SatGrn	P95Grn	P05Grn	RegRed	FocusRed	SatRed	P95Red	P05Red
3/17/2009 5:52:07 PM	4613710054	A	0.13	0.66	0	687	35	0.00	0.00	0	0	0
3/17/2009 5:58:00 PM	4613710054	B	0.10	0.67	0	815	36	0.00	0.00	0	0	0
3/17/2009 6:03:47 PM	4613710054	C	0.13	0.43	0	541	35	0.00	0.00	0	0	0
3/17/2009 6:09:42 PM	4613710054	D	0.14	0.67	0	853	35	0.00	0.00	0	0	0
3/17/2009 6:15:28 PM	4613710054	E	0.11	0.64	0	759	35	0.00	0.00	0	0	0
3/17/2009 6:21:34 PM	4613710054	F	0.11	0.66	0	682	35	0.00	0.00	0	0	0
3/17/2009 6:27:18 PM	4613710054	G	0.11	0.12	0	711	37	0.00	0.00	0	0	0
3/17/2009 6:33:00 PM	4613710054	H	0.11	0.64	0	438	35	0.00	0.00	0	0	0
3/17/2009 6:38:52 PM	4613710054	I	0.11	0.65	0	560	35	0.00	0.00	0	0	0
3/17/2009 6:44:43 PM	4613710054	J	0.11	0.65	0	567	35	0.00	0.00	0	0	0
3/17/2009 6:50:33 PM	4613710054	K	0.13	0.40	0	481	34	0.00	0.00	0	0	0
3/17/2009 6:56:23 PM	4613710054	L	0.12	0.66	0	671	34	0.00	0.00	0	0	0
