Date	Matrix	Section	RegGrn	FocusGrn	SatGrn	P95Grn	P05Grn	RegRed	FocusRed	SatRed	P95Red	P05Red
3/24/2009 5:24:59 PM	4613710052	A	0.14	0.64	0	666	36	0.00	0.00	0	0	0
3/24/2009 5:30:53 PM	4613710052	B	0.14	0.64	0	763	37	0.00	0.00	0	0	0
3/24/2009 5:36:46 PM	4613710052	C	0.11	0.67	0	646	38	0.00	0.00	0	0	0
3/24/2009 5:42:36 PM	4613710052	D	0.11	0.51	0	608	38	0.00	0.00	0	0	0
3/24/2009 5:48:23 PM	4613710052	E	0.11	0.66	0	643	37	0.00	0.00	0	0	0
3/24/2009 5:54:19 PM	4613710052	F	1.00	0.65	0	527	37	0.00	0.00	0	0	0
3/24/2009 6:00:14 PM	4613710052	G	0.12	0.64	0	456	36	0.00	0.00	0	0	0
3/24/2009 6:06:15 PM	4613710052	H	0.13	0.61	0	484	37	0.00	0.00	0	0	0
3/24/2009 6:11:57 PM	4613710052	I	0.09	0.65	0	614	38	0.00	0.00	0	0	0
3/24/2009 6:17:42 PM	4613710052	J	0.13	0.63	0	543	38	0.00	0.00	0	0	0
3/24/2009 6:23:30 PM	4613710052	K	0.12	0.67	0	663	38	0.00	0.00	0	0	0
3/24/2009 6:29:23 PM	4613710052	L	0.11	0.62	0	565	38	0.00	0.00	0	0	0
