Date	Matrix	Section	RegGrn	FocusGrn	SatGrn	P95Grn	P05Grn	RegRed	FocusRed	SatRed	P95Red	P05Red
4/1/2009 7:08:35 PM	4616443136	A	0.15	0.58	0	612	44	0.00	0.00	0	0	0
4/1/2009 7:14:42 PM	4616443136	B	0.09	0.59	0	390	37	0.00	0.00	0	0	0
4/1/2009 7:20:30 PM	4616443136	C	0.11	0.55	0	626	41	0.00	0.00	0	0	0
4/1/2009 7:26:05 PM	4616443136	D	0.13	0.66	0	561	39	0.00	0.00	0	0	0
4/1/2009 7:31:55 PM	4616443136	E	0.13	0.65	0	433	39	0.00	0.00	0	0	0
4/1/2009 7:37:43 PM	4616443136	F	0.15	0.66	0	565	40	0.00	0.00	0	0	0
4/1/2009 7:43:31 PM	4616443136	G	0.12	0.58	0	604	40	0.00	0.00	0	0	0
4/1/2009 7:49:24 PM	4616443136	H	0.12	0.56	0	591	43	0.00	0.00	0	0	0
4/1/2009 7:55:17 PM	4616443136	I	0.11	0.54	0	618	42	0.00	0.00	0	0	0
4/1/2009 8:01:05 PM	4616443136	J	0.12	0.64	0	632	41	0.00	0.00	0	0	0
4/1/2009 8:06:49 PM	4616443136	K	0.12	0.65	0	617	38	0.00	0.00	0	0	0
4/1/2009 8:12:49 PM	4616443136	L	0.12	0.64	0	572	40	0.00	0.00	0	0	0
