Date	Matrix	Section	RegGrn	FocusGrn	SatGrn	P95Grn	P05Grn	RegRed	FocusRed	SatRed	P95Red	P05Red
3/31/2009 3:58:16 PM	4616443079	A	0.13	0.62	0	455	33	0.00	0.00	0	0	0
3/31/2009 4:04:09 PM	4616443079	B	0.10	0.64	0	604	34	0.00	0.00	0	0	0
3/31/2009 4:09:59 PM	4616443079	C	0.12	0.65	0	534	34	0.00	0.00	0	0	0
3/31/2009 4:15:46 PM	4616443079	D	0.12	0.65	0	594	36	0.00	0.00	0	0	0
3/31/2009 4:21:45 PM	4616443079	E	0.13	0.65	0	452	35	0.00	0.00	0	0	0
3/31/2009 4:27:32 PM	4616443079	F	0.11	0.60	0	259	34	0.00	0.00	0	0	0
3/31/2009 4:33:14 PM	4616443079	G	0.11	0.64	0	330	36	0.00	0.00	0	0	0
3/31/2009 4:39:08 PM	4616443079	H	0.12	0.63	0	404	35	0.00	0.00	0	0	0
3/31/2009 4:45:03 PM	4616443079	I	0.13	0.64	0	497	35	0.00	0.00	0	0	0
3/31/2009 4:50:51 PM	4616443079	J	0.09	0.64	0	387	35	0.00	0.00	0	0	0
3/31/2009 4:56:44 PM	4616443079	K	0.13	0.66	0	474	36	0.00	0.00	0	0	0
3/31/2009 5:02:28 PM	4616443079	L	0.10	0.63	0	356	33	0.00	0.00	0	0	0
