Date	Matrix	Section	RegGrn	FocusGrn	SatGrn	P95Grn	P05Grn	RegRed	FocusRed	SatRed	P95Red	P05Red
4/7/2009 6:22:35 PM	4616443115	A	0.12	0.49	0	653	36	0.00	0.00	0	0	0
4/7/2009 6:28:26 PM	4616443115	B	0.10	0.64	0	757	37	0.00	0.00	0	0	0
4/7/2009 6:34:10 PM	4616443115	C	0.12	0.63	0	600	36	0.00	0.00	0	0	0
4/7/2009 6:39:56 PM	4616443115	D	0.12	0.65	0	732	38	0.00	0.00	0	0	0
4/7/2009 6:45:53 PM	4616443115	E	0.11	0.65	0	711	36	0.00	0.00	0	0	0
4/7/2009 6:51:41 PM	4616443115	F	0.13	0.63	0	538	36	0.00	0.00	0	0	0
4/7/2009 6:57:34 PM	4616443115	G	0.11	0.64	0	635	37	0.00	0.00	0	0	0
4/7/2009 7:03:25 PM	4616443115	H	0.13	0.09	0	665	37	0.00	0.00	0	0	0
4/7/2009 7:09:32 PM	4616443115	I	0.12	0.65	0	735	37	0.00	0.00	0	0	0
4/7/2009 7:15:12 PM	4616443115	J	0.13	0.66	0	726	38	0.00	0.00	0	0	0
4/7/2009 7:20:55 PM	4616443115	K	0.14	0.63	0	630	36	0.00	0.00	0	0	0
4/7/2009 7:26:42 PM	4616443115	L	0.10	0.64	0	724	38	0.00	0.00	0	0	0
