Date	Matrix	Section	RegGrn	FocusGrn	SatGrn	P95Grn	P05Grn	RegRed	FocusRed	SatRed	P95Red	P05Red
4/1/2009 4:50:28 AM	4616494005	A	0.13	0.59	0	678	38	0.00	0.00	0	0	0
4/1/2009 4:56:16 AM	4616494005	B	0.12	0.40	0	816	36	0.00	0.00	0	0	0
4/1/2009 5:02:02 AM	4616494005	C	0.13	0.64	0	623	38	0.00	0.00	0	0	0
4/1/2009 5:08:06 AM	4616494005	D	0.12	0.66	0	725	38	0.00	0.00	0	0	0
4/1/2009 5:13:47 AM	4616494005	E	0.13	0.66	0	729	37	0.00	0.00	0	0	0
4/1/2009 5:19:43 AM	4616494005	F	0.12	0.59	0	575	37	0.00	0.00	0	0	0
4/1/2009 5:25:35 AM	4616494005	G	0.12	0.64	0	559	37	0.00	0.00	0	0	0
4/1/2009 5:31:37 AM	4616494005	H	0.13	0.80	0	618	37	0.00	0.00	0	0	0
4/1/2009 5:37:18 AM	4616494005	I	0.13	0.64	0	823	40	0.00	0.00	0	0	0
4/1/2009 5:43:00 AM	4616494005	J	0.13	0.65	0	734	38	0.00	0.00	0	0	0
4/1/2009 5:48:55 AM	4616494005	K	0.12	0.63	0	629	37	0.00	0.00	0	0	0
4/1/2009 5:54:44 AM	4616494005	L	0.13	0.60	0	704	39	0.00	0.00	0	0	0
