Date	Matrix	Section	RegGrn	FocusGrn	SatGrn	P95Grn	P05Grn	RegRed	FocusRed	SatRed	P95Red	P05Red
3/13/2009 6:39:21 PM	4613710017	A	0.12	0.70	0	662	33	0.00	0.00	0	0	0
3/13/2009 6:45:04 PM	4613710017	B	0.13	0.70	0	704	36	0.00	0.00	0	0	0
3/13/2009 6:51:01 PM	4613710017	C	0.12	0.67	0	724	37	0.00	0.00	0	0	0
3/13/2009 6:56:50 PM	4613710017	D	0.13	0.53	0	641	34	0.00	0.00	0	0	0
3/13/2009 7:02:42 PM	4613710017	E	0.11	0.48	0	737	36	0.00	0.00	0	0	0
3/13/2009 7:08:31 PM	4613710017	F	0.60	0.64	0	652	35	0.00	0.00	0	0	0
3/13/2009 7:14:13 PM	4613710017	G	0.13	0.53	0	815	36	0.00	0.00	0	0	0
3/13/2009 7:20:06 PM	4613710017	H	0.12	0.60	0	660	36	0.00	0.00	0	0	0
3/13/2009 7:25:56 PM	4613710017	I	0.10	0.65	0	836	38	0.00	0.00	0	0	0
3/13/2009 7:31:45 PM	4613710017	J	0.12	0.66	0	691	36	0.00	0.00	0	0	0
3/13/2009 7:37:39 PM	4613710017	K	0.14	0.66	0	800	37	0.00	0.00	0	0	0
3/13/2009 7:43:29 PM	4613710017	L	0.13	0.65	0	738	38	0.00	0.00	0	0	0
