Date	Matrix	Section	RegGrn	FocusGrn	SatGrn	P95Grn	P05Grn	RegRed	FocusRed	SatRed	P95Red	P05Red
4/1/2009 4:34:03 PM	4616443107	A	0.12	0.67	0	559	37	0.00	0.00	0	0	0
4/1/2009 4:39:55 PM	4616443107	B	0.13	0.64	0	638	39	0.00	0.00	0	0	0
4/1/2009 4:45:38 PM	4616443107	C	0.11	0.66	0	602	38	0.00	0.00	0	0	0
4/1/2009 4:51:36 PM	4616443107	D	0.11	0.64	0	408	37	0.00	0.00	0	0	0
4/1/2009 4:57:27 PM	4616443107	E	0.11	0.61	0	564	38	0.00	0.00	0	0	0
4/1/2009 5:03:10 PM	4616443107	F	0.11	0.63	0	539	37	0.00	0.00	0	0	0
4/1/2009 5:09:02 PM	4616443107	G	0.12	0.57	0	490	38	0.00	0.00	0	0	0
4/1/2009 5:14:53 PM	4616443107	H	0.15	0.67	0	606	37	0.00	0.00	0	0	0
4/1/2009 5:20:46 PM	4616443107	I	0.12	0.66	0	547	38	0.00	0.00	0	0	0
4/1/2009 5:26:30 PM	4616443107	J	0.12	0.63	0	488	39	0.00	0.00	0	0	0
4/1/2009 5:32:26 PM	4616443107	K	0.13	0.53	0	588	37	0.00	0.00	0	0	0
4/1/2009 5:38:10 PM	4616443107	L	0.13	0.63	0	458	37	0.00	0.00	0	0	0
